row_id,systems_row_id,row_group,systems_scope,method,communicated_object,source_packet_cached,source_scoring_included,source_private,raw_bytes,framed_bytes,cacheline_bytes,batch64_bytes,source_scoring_ms_per_question,source_scoring_total_s,packet_build_ms_per_question,receiver_decode_p50_us,receiver_decode_p95_us,source_text_exposed,source_kv_exposed,source_hidden_or_score_vector_exposed,native_measured,native_claim_allowed,measurement_status,nvidia_vllm_required,claim_allowed,overclaim_guard,source_url,notes
source_logit_vector_fp16_floor,source_logit_vector_fp16_floor,state relay floor,source_state_floor,Four-choice fp16 logit-vector relay floor,"source logit vector, fp16",false,false,false,8,8,64,512,,,,,,false,false,true,false,false,logit_vector_floor_not_source_private,false,source-state exposure floor only; not a source-private packet,This row exposes a source logit vector; do not claim it is a LatentWire packet.,results/source_private_arc_challenge_fourier_anchor_syndrome_gate_20260502_budget8_10seed_b2000/arc_challenge_fourier_anchor_syndrome_gate.json,4 candidate logits times fp16; kept separate from score-vector floor.
hidden_vector_fp16_floor,hidden_vector_fp16_floor,state relay floor,source_state_floor,One hidden-vector fp16 relay floor,"one source hidden vector, fp16",false,false,false,1792,1792,1792,114688,,,,,,false,false,true,false,false,byte_floor_from_model_config,false,state-exposure lower bound only; not a baseline win,This row exposes a continuous hidden vector; do not claim it is a LatentWire packet.,local Qwen2.5-0.5B config,hidden_size=896
qjl_1bit_kv_floor,qjl_1bit_kv_floor,KV/source-state floor,kv_state_floor,1-bit/KV-element accounting floor,one-token K+V state at 1 bit/element,false,false,false,768,768,768,49152,,,,,,false,true,false,false,false,optimistic_byte_floor_not_native,true,mathematical state-size lower bound only,This is an internal one-bit-per-KV-element accounting floor; do not treat it as a defeated QJL native baseline.,https://arxiv.org/abs/2406.03482,QJL uses a JL transform and 1-bit quantization for KV-cache compression.
kivi_2bit_kv_floor,kivi_2bit_kv_floor,KV/source-state floor,kv_state_floor,KIVI 2-bit KV floor,one-token K+V state at 2 bits/element,false,false,false,1536,1536,1536,98304,,,,,,false,true,false,false,false,byte_floor_not_native,true,KV-cache compression comparator only,KIVI compresses KV cache state and still requires native quality/throughput comparison.,https://arxiv.org/abs/2402.02750,KIVI is a tuning-free asymmetric 2-bit KV-cache quantization method.
q_kvcomm_6x_floor,q_kvcomm_6x_floor,KV communication floor,kv_communication_floor,Q-KVComm optimistic 6x floor,compressed source KV cache representation,false,false,false,2048,2048,2048,131072,,,,,,false,true,false,false,false,ratio_floor_not_native,true,compressed-KV communication boundary only,Q-KVComm transmits compressed KV-derived state; do not claim this is a source-private packet.,https://arxiv.org/abs/2512.17914,Q-KVComm transmits compressed KV cache representations with reported 5-6x compression.
kvquant_3bit_kv_floor,kvquant_3bit_kv_floor,KV/source-state floor,kv_state_floor,KVQuant 3-bit proxy floor,one-token K+V state at 3 bits/element,false,false,false,2304,2304,2304,147456,,,,,,false,true,false,false,false,proxy_byte_floor_not_native,true,sub-4-bit KV comparator only,KVQuant is a KV-cache quantization comparator; do not claim it is a packet baseline.,https://arxiv.org/abs/2401.18079,KVQuant targets accurate sub-4-bit KV-cache quantization.
turboquant_3p5bit_kv_floor,turboquant_3p5bit_kv_floor,KV/source-state floor,kv_state_floor,TurboQuant 3.5-bit KV floor,one-token K+V state at 3.5 bits/element,false,false,false,2688,2688,2688,172032,,,,,,false,true,false,false,false,byte_floor_not_native,true,KV/vector quantization comparator only,TurboQuant is a vector/KV quantizer; byte floors alone do not compare native latency.,https://arxiv.org/abs/2504.19874,TurboQuant reports quality-neutral KV-cache quantization at 3.5 bits per channel.
kvcomm30_fp16_floor,kvcomm30_fp16_floor,KV communication floor,kv_communication_floor,KVComm 30% fp16 KV floor,"selected source KV layers, fp16",false,false,false,3686.4,3686.4,3712,235930,,,,,,false,true,false,false,false,30pct_layer_floor_not_native,true,selective-KV communication boundary only,KVComm shares selected KV pairs; this is only a native-pending 30%-layer byte floor.,https://arxiv.org/abs/2510.03346,KVComm selectively shares KV pairs and reports as few as 30% of layers.
c2c_fp16_kv_floor,c2c_fp16_kv_floor,KV communication floor,kv_communication_floor,C2C one-token fp16 KV floor,projected/fused source KV cache,false,false,false,12288,12288,12288,786432,,,,,,false,true,false,false,false,one_token_floor_not_native,true,closest cache-transfer baseline; native run still required,C2C fuses source KV cache; do not claim superiority without native C2C.,https://arxiv.org/abs/2510.03215,C2C projects and fuses a source model KV cache into the target cache.
kvcomm_cross_context_fp16_floor,kvcomm_cross_context_fp16_floor,KV communication floor,kv_communication_floor,KVCOMM cross-context fp16 KV floor,aligned/reused source KV cache,false,false,false,12288,12288,12288,786432,,,,,,false,true,false,false,false,one_token_floor_not_native,true,systems neighbor only; native run still required,KVCOMM is a cross-context KV reuse system; this row is only a native-pending byte floor.,https://arxiv.org/abs/2510.12872,KVCOMM aligns and reuses cross-context KV caches for multi-agent prefill.
vllm_pagedattention_fp16_kv_floor,vllm_pagedattention_fp16_kv_floor,serving substrate,serving_substrate,vLLM/PagedAttention one-token KV floor,paged KV-cache serving substrate,false,false,true,12288,12288,12288,786432,,,,,,false,false,false,false,false,native_nvidia_pending,true,"native TTFT/TPOT/goodput/HBM target, not closed on Mac",No vLLM serving claim is valid until native NVIDIA rows are measured.,https://arxiv.org/abs/2309.06180,vLLM/PagedAttention is a KV-cache serving substrate.
sglang_radixattention_fp16_kv_floor,sglang_radixattention_fp16_kv_floor,serving substrate,serving_substrate,SGLang/RadixAttention one-token KV floor,KV-cache reuse serving substrate,false,false,true,12288,12288,12288,786432,,,,,,false,false,false,false,false,native_nvidia_pending,true,"native TTFT/TPOT/goodput/HBM target, not closed on Mac",No SGLang serving claim is valid until native NVIDIA rows are measured.,https://arxiv.org/abs/2312.07104,SGLang uses RadixAttention for KV-cache reuse in structured LM programs.
