benchmark,split,seed,packet_accuracy,source_index_accuracy,target_accuracy,same_budget_text_accuracy,packet_follows_source_index,packet_vs_source_index_mean,packet_vs_source_index_ci95_low,packet_vs_same_budget_text_ci95_low,packet_vs_best_destructive_ci95_low
ARC-Challenge,test,79,0.3430034129692833,0.3455631399317406,0.26535836177474403,0.3003412969283277,0.9974402730375427,-0.002559726962457338,-0.005972696245733789,0.026450511945392493,0.04008105802047782
ARC-Challenge,test,83,0.3455631399317406,0.3455631399317406,0.26535836177474403,0.3003412969283277,0.9957337883959044,0.0,-0.0034129692832764505,0.027303754266211604,0.04349402730375427
ARC-Challenge,test,89,0.3447098976109215,0.3455631399317406,0.26535836177474403,0.3003412969283277,0.9948805460750854,-0.0008532423208191126,-0.004266211604095563,0.027282423208191128,0.04349402730375427
OpenBookQA,test,47,0.378,0.378,0.276,0.35,1.0,0.0,0.0,0.0,0.044
OpenBookQA,test,53,0.378,0.378,0.276,0.35,0.996,0.0,-0.006,0.0,0.044
OpenBookQA,test,59,0.378,0.378,0.276,0.35,1.0,0.0,0.0,0.0,0.044
OpenBookQA,test,61,0.38,0.378,0.276,0.35,0.998,0.002,0.0,0.002,0.048
OpenBookQA,test,67,0.378,0.378,0.276,0.35,1.0,0.0,0.0,0.002,0.046
OpenBookQA,test,71,0.378,0.378,0.276,0.35,1.0,0.0,0.0,-0.002,0.042
OpenBookQA,test,73,0.376,0.378,0.276,0.35,0.998,-0.002,-0.006,-0.002,0.042
OpenBookQA,test,79,0.378,0.378,0.276,0.35,1.0,0.0,0.0,0.0,0.046
OpenBookQA,test,83,0.378,0.378,0.276,0.35,0.996,0.0,-0.006,0.0,0.044
OpenBookQA,test,89,0.378,0.378,0.276,0.35,1.0,0.0,0.0,0.002,0.048
OpenBookQA,test,97,0.378,0.378,0.276,0.35,1.0,0.0,0.0,0.0,0.048
OpenBookQA,test,101,0.378,0.378,0.276,0.35,1.0,0.0,0.0,-0.002,0.034
OpenBookQA,test,103,0.38,0.378,0.276,0.35,0.998,0.002,0.0,0.002,0.044
OpenBookQA,test,107,0.376,0.378,0.276,0.35,0.996,-0.002,-0.006,-0.002,0.02995
OpenBookQA,test,109,0.378,0.378,0.276,0.35,1.0,0.0,0.0,0.002,0.046
OpenBookQA,test,113,0.378,0.378,0.276,0.35,0.998,0.0,0.0,0.0,0.044
OpenBookQA,test,127,0.378,0.378,0.276,0.35,0.998,0.0,0.0,-4.9999999999997156e-05,0.04995000000000001
OpenBookQA,test,131,0.38,0.378,0.276,0.35,0.998,0.002,0.0,0.002,0.046
OpenBookQA,test,137,0.376,0.378,0.276,0.35,0.998,-0.002,-0.006,-0.002,0.044
OpenBookQA,test,139,0.376,0.378,0.276,0.35,0.998,-0.002,-0.006,-0.002,0.036
