eval_name,candidate,accuracy,correct,rows,source_top1_accuracy,source_top2_oracle_accuracy,top1_gold_count,top2_gold_count,outside_top2_gold_count,gold_top1_rate,gold_top2_rate,gold_outside_top2_rate,top2_opportunity_rate,outside_top2_gold_rate,recoverable_headroom_vs_source_top1,switch_count,switch_rate,switch_precision,switch_recall_over_gold_top2,false_switch_away_from_gold_top1_rate,good_switch_count,false_switch_from_gold_top1_count,missed_switch_count,net_switch_gain_count,harmful_switch_from_outside_top2_gold_count,outside_top2_prediction_count,outside_top2_prediction_rate,net_correct_gain_vs_source_top1,net_accuracy_gain_vs_source_top1,headroom_capture_vs_source_top1,best_label_copy_accuracy,minus_best_label_copy,paired_ci95_low_vs_best_label_copy,paired_ci95_high_vs_best_label_copy,score_only_switch_accuracy,minus_score_only_switch,paired_ci95_low_vs_score_only_switch,paired_ci95_high_vs_score_only_switch
validation_first1024,selected_train_dev_switch,0.44921875,460,1024,0.4619140625,0.7158203125,473,260,291,0.4619140625,0.25390625,0.2841796875,0.25390625,0.2841796875,0.25390625,354,0.345703125,0.3333333333333333,0.45384615384615384,0.2769556025369979,118,131,142,-13,105,0,0.0,-13,-0.0126953125,-0.05,0.4619140625,-0.0126953125,-0.0439453125,0.017626953124999956,0.4306640625,0.0185546875,-0.0146484375,0.052734375
validation_first1024,dense_hidden_innovation_reference,0.5126953125,525,1024,0.4619140625,0.7158203125,473,260,291,0.4619140625,0.25390625,0.2841796875,0.25390625,0.2841796875,0.25390625,82,0.080078125,0.5975609756097561,0.18846153846153846,0.03382663847780127,49,16,211,33,17,60,0.05859375,52,0.05078125,0.2,0.4619140625,0.05078125,0.0317138671875,0.0703125,0.4306640625,0.08203125,0.054638671875,0.11086425781249998
validation_first1024,hybrid_hidden_vote_reference,0.5185546875,531,1024,0.4619140625,0.7158203125,473,260,291,0.4619140625,0.25390625,0.2841796875,0.25390625,0.2841796875,0.25390625,105,0.1025390625,0.5523809523809524,0.2230769230769231,0.042283298097251586,58,20,202,38,27,72,0.0703125,58,0.056640625,0.2230769230769231,0.4619140625,0.056640625,0.0375732421875,0.0771484375,0.4306640625,0.087890625,0.0600341796875,0.11821289062499996
terminal_tail_9216_10042,source_label_copy,0.4975786924939467,411,826,0.4975786924939467,0.7566585956416465,411,214,201,0.4975786924939467,0.25907990314769974,0.24334140435835352,0.25907990314769974,0.24334140435835352,0.25907990314769974,0,0.0,,0.0,0.0,0,0,214,0,0,0,0.0,0,0.0,0.0,0.4975786924939467,0.0,0.0,0.0,,,,
terminal_tail_9216_10042,trained_choice_bias_label_copy,0.49031476997578693,405,826,0.4975786924939467,0.7566585956416465,411,214,201,0.4975786924939467,0.25907990314769974,0.24334140435835352,0.25907990314769974,0.24334140435835352,0.25907990314769974,141,0.17070217917675545,0.3475177304964539,0.22897196261682243,0.11192214111922141,49,46,165,3,46,24,0.029055690072639227,-6,-0.007263922518159807,-0.028037383177570097,0.4975786924939467,-0.007263922518159771,-0.03268765133171913,0.018159806295399514,,,,
terminal_tail_9216_10042,top2_oracle,0.7566585956416465,625,826,0.4975786924939467,0.7566585956416465,411,214,201,0.4975786924939467,0.25907990314769974,0.24334140435835352,0.25907990314769974,0.24334140435835352,0.25907990314769974,214,0.25907990314769974,1.0,1.0,0.0,214,0,0,214,0,0,0.0,214,0.25907990314769974,1.0,0.4975786924939467,0.2590799031476998,0.22938861985472156,0.28692493946731235,0.49878934624697335,0.25786924939467315,0.22760290556900725,0.28634987893462466
terminal_tail_9216_10042,always_switch_to_top2,0.25907990314769974,214,826,0.4975786924939467,0.7566585956416465,411,214,201,0.4975786924939467,0.25907990314769974,0.24334140435835352,0.25907990314769974,0.24334140435835352,0.25907990314769974,826,1.0,0.25907990314769974,1.0,1.0,214,411,0,-197,201,0,0.0,-197,-0.23849878934624696,-0.9205607476635514,0.4975786924939467,-0.23849878934624696,-0.29119249394673125,-0.17554479418886199,0.49878934624697335,-0.2397094430992736,-0.29119249394673125,-0.1773305084745763
terminal_tail_9216_10042,random_switch_same_rate_as_selected,0.4297820823244552,355,826,0.4975786924939467,0.7566585956416465,411,214,201,0.4975786924939467,0.25907990314769974,0.24334140435835352,0.25907990314769974,0.24334140435835352,0.25907990314769974,252,0.3050847457627119,0.26587301587301587,0.3130841121495327,0.29927007299270075,67,123,147,-56,62,0,0.0,-56,-0.06779661016949153,-0.26168224299065423,0.4975786924939467,-0.06779661016949151,-0.10048426150121065,-0.0387409200968523,0.49878934624697335,-0.06900726392251816,-0.10354116222760291,-0.035108958837772396
terminal_tail_9216_10042,score_switch,0.49878934624697335,412,826,0.4975786924939467,0.7566585956416465,411,214,201,0.4975786924939467,0.25907990314769974,0.24334140435835352,0.25907990314769974,0.24334140435835352,0.25907990314769974,30,0.03631961259079903,0.4,0.056074766355140186,0.0267639902676399,12,11,202,1,7,0,0.0,1,0.0012106537530266344,0.004672897196261683,0.4975786924939467,0.001210653753026647,-0.009685230024213076,0.013317191283292978,,,,
terminal_tail_9216_10042,hidden_contrast_switch,0.48789346246973364,403,826,0.4975786924939467,0.7566585956416465,411,214,201,0.4975786924939467,0.25907990314769974,0.24334140435835352,0.25907990314769974,0.24334140435835352,0.25907990314769974,250,0.3026634382566586,0.36,0.4205607476635514,0.2384428223844282,90,98,124,-8,62,0,0.0,-8,-0.009685230024213076,-0.03738317757009346,0.4975786924939467,-0.009685230024213065,-0.040587167070217915,0.01937046004842615,0.49878934624697335,-0.010895883777239712,-0.048426150121065374,0.023002421307506054
terminal_tail_9216_10042,hidden_score_switch,0.4854721549636804,401,826,0.4975786924939467,0.7566585956416465,411,214,201,0.4975786924939467,0.25907990314769974,0.24334140435835352,0.25907990314769974,0.24334140435835352,0.25907990314769974,252,0.3050847457627119,0.3531746031746032,0.4158878504672897,0.24087591240875914,89,99,125,-10,64,0,0.0,-10,-0.012106537530266344,-0.04672897196261683,0.4975786924939467,-0.012106537530266304,-0.044794188861985475,0.020581113801452784,0.49878934624697335,-0.01331719128329295,-0.04721549636803874,0.016374092009685204
terminal_tail_9216_10042,wrong_hidden_score_switch_control,0.43825665859564167,362,826,0.4975786924939467,0.7566585956416465,411,214,201,0.4975786924939467,0.25907990314769974,0.24334140435835352,0.25907990314769974,0.24334140435835352,0.25907990314769974,231,0.2796610169491525,0.2813852813852814,0.3037383177570093,0.2773722627737226,65,114,149,-49,52,0,0.0,-49,-0.059322033898305086,-0.22897196261682246,0.4975786924939467,-0.05932203389830504,-0.09385593220338984,-0.02842009685230027,0.49878934624697335,-0.060532687651331685,-0.09143462469733657,-0.025938256658595723
terminal_tail_9216_10042,label_permuted_hidden_score_switch_control,0.4612590799031477,381,826,0.4975786924939467,0.7566585956416465,411,214,201,0.4975786924939467,0.25907990314769974,0.24334140435835352,0.25907990314769974,0.24334140435835352,0.25907990314769974,114,0.13801452784503632,0.2543859649122807,0.13551401869158877,0.1435523114355231,29,59,185,-30,26,0,0.0,-30,-0.03631961259079903,-0.14018691588785046,0.4975786924939467,-0.03631961259079902,-0.0575363196125908,-0.014527845036319613,0.49878934624697335,-0.03753026634382567,-0.05874697336561743,-0.013317191283292978
terminal_tail_9216_10042,selected_train_dev_switch,0.4854721549636804,401,826,0.4975786924939467,0.7566585956416465,411,214,201,0.4975786924939467,0.25907990314769974,0.24334140435835352,0.25907990314769974,0.24334140435835352,0.25907990314769974,252,0.3050847457627119,0.3531746031746032,0.4158878504672897,0.24087591240875914,89,99,125,-10,64,0,0.0,-10,-0.012106537530266344,-0.04672897196261683,0.4975786924939467,-0.012106537530266304,-0.043583535108958835,0.01937046004842615,0.49878934624697335,-0.01331719128329295,-0.044794188861985475,0.016374092009685204
terminal_tail_9216_10042,dense_hidden_innovation_reference,0.5399515738498789,446,826,0.4975786924939467,0.7566585956416465,411,214,201,0.4975786924939467,0.25907990314769974,0.24334140435835352,0.25907990314769974,0.24334140435835352,0.25907990314769974,71,0.08595641646489104,0.5774647887323944,0.19158878504672897,0.0413625304136253,41,17,173,24,13,45,0.05447941888619855,35,0.0423728813559322,0.16355140186915887,0.4975786924939467,0.0423728813559322,0.021156174334140437,0.06416464891041163,0.49878934624697335,0.041162227602905554,0.01694915254237288,0.06295399515738499
terminal_tail_9216_10042,hybrid_hidden_vote_reference,0.5472154963680388,452,826,0.4975786924939467,0.7566585956416465,411,214,201,0.4975786924939467,0.25907990314769974,0.24334140435835352,0.25907990314769974,0.24334140435835352,0.25907990314769974,92,0.11138014527845036,0.5652173913043478,0.24299065420560748,0.05596107055961071,52,23,162,29,17,57,0.06900726392251816,41,0.04963680387409201,0.19158878504672897,0.4975786924939467,0.049636803874092084,0.024213075060532687,0.07448547215496365,0.49878934624697335,0.04842615012106544,0.026634382566585957,0.07627118644067797
