method,view,param,transform,dev_accuracy_mean,dev_qwen_substituted_accuracy_mean,dev_cached_tiny_packet_accuracy_mean,dev_matched_minus_qwen_substituted_mean,dev_matched_minus_cached_tiny_packet_mean,dev_paired_ci95_low_vs_qwen_substituted_min,selected
knn_barycentric_transport,query_residual,"k=15,temp=0.10",qjl_sign64,0.35555555555555557,0.3611111111111111,0.2777777777777778,-0.005555555555555555,0.07777777777777778,-0.3055555555555556,False
knn_barycentric_transport,query_residual,"k=31,temp=0.10",qjl_sign64,0.3277777777777778,0.3611111111111111,0.2777777777777778,-0.03333333333333333,0.05,-0.2777777777777778,False
knn_barycentric_transport,query_residual,"k=3,temp=0.10",qjl_sign128,0.29444444444444445,0.3611111111111111,0.2777777777777778,-0.06666666666666668,0.016666666666666666,-0.4166666666666667,False
knn_barycentric_transport,query_residual,"k=7,temp=0.10",qjl_sign128,0.35,0.3611111111111111,0.2777777777777778,-0.01111111111111111,0.07222222222222223,-0.3333333333333333,False
knn_barycentric_transport,query_residual,"k=15,temp=0.10",qjl_sign128,0.3055555555555555,0.3611111111111111,0.2777777777777778,-0.05555555555555556,0.02777777777777778,-0.4166666666666667,False
knn_barycentric_transport,query_residual,"k=31,temp=0.10",qjl_sign128,0.2833333333333333,0.3611111111111111,0.2777777777777778,-0.07777777777777779,0.005555555555555555,-0.3888888888888889,False
whitened_procrustes,query_residual,dim=16,raw,0.3111111111111111,0.3611111111111111,0.2777777777777778,-0.05,0.03333333333333334,-0.3888888888888889,False
whitened_procrustes,query_residual,dim=32,raw,0.4,0.3611111111111111,0.2777777777777778,0.03888888888888889,0.12222222222222223,-0.3333333333333333,True
whitened_procrustes,query_residual,dim=64,raw,0.37222222222222223,0.3611111111111111,0.2777777777777778,0.011111111111111113,0.09444444444444444,-0.3333333333333333,False
whitened_procrustes,query_residual,dim=96,raw,0.31666666666666665,0.3611111111111111,0.2777777777777778,-0.04444444444444444,0.03888888888888888,-0.3479166666666666,False
knn_barycentric_transport,hidden_query_residual,"k=3,temp=0.10",raw,0.31666666666666665,0.3611111111111111,0.2777777777777778,-0.04444444444444444,0.03888888888888889,-0.3611111111111111,False
knn_barycentric_transport,hidden_query_residual,"k=7,temp=0.10",raw,0.28888888888888886,0.3611111111111111,0.2777777777777778,-0.07222222222222222,0.01111111111111111,-0.3611111111111111,False
knn_barycentric_transport,hidden_query_residual,"k=15,temp=0.10",raw,0.3277777777777778,0.3611111111111111,0.2777777777777778,-0.03333333333333334,0.05,-0.3333333333333333,False
knn_barycentric_transport,hidden_query_residual,"k=31,temp=0.10",raw,0.3277777777777778,0.3611111111111111,0.2777777777777778,-0.03333333333333334,0.049999999999999996,-0.3756944444444444,False
knn_barycentric_transport,hidden_query_residual,"k=3,temp=0.10",qjl_sign64,0.21666666666666665,0.3611111111111111,0.2777777777777778,-0.14444444444444446,-0.0611111111111111,-0.4166666666666667,False
knn_barycentric_transport,hidden_query_residual,"k=7,temp=0.10",qjl_sign64,0.25555555555555554,0.3611111111111111,0.2777777777777778,-0.10555555555555556,-0.022222222222222223,-0.3611111111111111,False
knn_barycentric_transport,hidden_query_residual,"k=15,temp=0.10",qjl_sign64,0.2833333333333333,0.3611111111111111,0.2777777777777778,-0.07777777777777777,0.005555555555555555,-0.4166666666666667,False
knn_barycentric_transport,hidden_query_residual,"k=31,temp=0.10",qjl_sign64,0.28888888888888886,0.3611111111111111,0.2777777777777778,-0.07222222222222223,0.01111111111111111,-0.3888888888888889,False
knn_barycentric_transport,hidden_query_residual,"k=3,temp=0.10",qjl_sign128,0.2777777777777778,0.3611111111111111,0.2777777777777778,-0.08333333333333334,0.0,-0.3611111111111111,False
knn_barycentric_transport,hidden_query_residual,"k=7,temp=0.10",qjl_sign128,0.2111111111111111,0.3611111111111111,0.2777777777777778,-0.15,-0.06666666666666668,-0.4444444444444444,False
knn_barycentric_transport,hidden_query_residual,"k=15,temp=0.10",qjl_sign128,0.23333333333333334,0.3611111111111111,0.2777777777777778,-0.12777777777777777,-0.04444444444444444,-0.4166666666666667,False
knn_barycentric_transport,hidden_query_residual,"k=31,temp=0.10",qjl_sign128,0.23888888888888887,0.3611111111111111,0.2777777777777778,-0.12222222222222223,-0.03888888888888889,-0.4166666666666667,False
whitened_procrustes,hidden_query_residual,dim=16,raw,0.3277777777777778,0.3611111111111111,0.2777777777777778,-0.033333333333333326,0.05,-0.3888888888888889,False
whitened_procrustes,hidden_query_residual,dim=32,raw,0.37222222222222223,0.3611111111111111,0.2777777777777778,0.01111111111111111,0.09444444444444446,-0.29236111111111107,False
whitened_procrustes,hidden_query_residual,dim=64,raw,0.3388888888888889,0.3611111111111111,0.2777777777777778,-0.02222222222222222,0.0611111111111111,-0.3479166666666666,False
whitened_procrustes,hidden_query_residual,dim=96,raw,0.25,0.3611111111111111,0.2777777777777778,-0.11111111111111112,-0.02777777777777778,-0.3888888888888889,False
