row_id,contribution,method,surface,status,reviewer_bucket,accuracy,target_accuracy,best_control_accuracy,matched_minus_target,matched_minus_best_control,mean_payload_bytes,valid_rate,ci95_low_vs_target,ci95_low_vs_comparator,p50_latency_ms,evidence_complete,missing_evidence,pass_reason,pruning_reason,comparator,note
wyner_ziv::remap103::budget4,learned Wyner-Ziv syndrome packet,4-byte scalar WZ packet,remap 103,pass,positive_needs_more_evidence,0.474609,0.25,0.265625,0.224609,0.208984,4,,,,,False,"valid_rate,ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.225; beats best destructive/control by 0.209; missing reviewer evidence: valid_rate, ci95_low_vs_target, ci95_low_vs_comparator",,query-aware diagnostic text / QJL / raw sign,raw_sign=0.328; qjl=0.461; canonical_rasp=0.520; query_text_at_budget=0.250; packet_vs_query_text_oracle=3.5x
wyner_ziv::remap103::budget6,learned Wyner-Ziv syndrome packet,6-byte scalar WZ packet,remap 103,pass,positive_needs_more_evidence,0.507812,0.25,0.265625,0.257812,0.242188,6,,,,,False,"valid_rate,ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.258; beats best destructive/control by 0.242; missing reviewer evidence: valid_rate, ci95_low_vs_target, ci95_low_vs_comparator",,query-aware diagnostic text / QJL / raw sign,raw_sign=0.316; qjl=0.484; canonical_rasp=0.520; query_text_at_budget=0.250; packet_vs_query_text_oracle=2.3x
wyner_ziv::remap107::budget2,learned Wyner-Ziv syndrome packet,2-byte scalar WZ packet,remap 107,pass,positive_needs_more_evidence,0.417969,0.25,0.246094,0.167969,0.171875,2,,,,,False,"valid_rate,ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.168; beats best destructive/control by 0.172; missing reviewer evidence: valid_rate, ci95_low_vs_target, ci95_low_vs_comparator",,query-aware diagnostic text / QJL / raw sign,raw_sign=0.309; qjl=0.393; canonical_rasp=0.350; query_text_at_budget=0.250; packet_vs_query_text_oracle=7.0x
wyner_ziv::remap107::budget4,learned Wyner-Ziv syndrome packet,4-byte scalar WZ packet,remap 107,pass,positive_needs_more_evidence,0.445312,0.25,0.246094,0.195312,0.199219,4,,,,,False,"valid_rate,ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.195; beats best destructive/control by 0.199; missing reviewer evidence: valid_rate, ci95_low_vs_target, ci95_low_vs_comparator",,query-aware diagnostic text / QJL / raw sign,raw_sign=0.326; qjl=0.453; canonical_rasp=0.506; query_text_at_budget=0.250; packet_vs_query_text_oracle=3.5x
wyner_ziv::remap107::budget6,learned Wyner-Ziv syndrome packet,6-byte scalar WZ packet,remap 107,pass,positive_needs_more_evidence,0.492188,0.25,0.232422,0.242188,0.259766,6,,,,,False,"valid_rate,ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.242; beats best destructive/control by 0.260; missing reviewer evidence: valid_rate, ci95_low_vs_target, ci95_low_vs_comparator",,query-aware diagnostic text / QJL / raw sign,raw_sign=0.330; qjl=0.457; canonical_rasp=0.506; query_text_at_budget=0.250; packet_vs_query_text_oracle=2.3x
wyner_ziv_cross::core_to_holdout::budget2,learned Wyner-Ziv cross-family falsification,2-byte scalar WZ packet,core_to_holdout,fail,failed_or_pruned,0.126953,0.25,0.623047,-0.123047,-0.496094,2,,,,,True,,,does not beat target (-0.123); insufficient matched-control delta (-0.496),QJL / canonical RASP / source controls,raw_sign=0.283; qjl=0.252; canonical_rasp=0.125; canonical_pass=False
wyner_ziv_cross::core_to_holdout::budget4,learned Wyner-Ziv cross-family falsification,4-byte scalar WZ packet,core_to_holdout,fail,failed_or_pruned,0.173828,0.25,0.529297,-0.0761719,-0.355469,4,,,,,True,,,does not beat target (-0.076); insufficient matched-control delta (-0.355),QJL / canonical RASP / source controls,raw_sign=0.365; qjl=0.131; canonical_rasp=0.207; canonical_pass=False
wyner_ziv_cross::core_to_holdout::budget6,learned Wyner-Ziv cross-family falsification,6-byte scalar WZ packet,core_to_holdout,fail,failed_or_pruned,0.146484,0.25,0.583984,-0.103516,-0.4375,6,,,,,True,,,does not beat target (-0.104); insufficient matched-control delta (-0.438),QJL / canonical RASP / source controls,raw_sign=0.326; qjl=0.131; canonical_rasp=0.207; canonical_pass=False
wyner_ziv_cross::holdout_to_core::budget2,learned Wyner-Ziv cross-family falsification,2-byte scalar WZ packet,holdout_to_core,fail,failed_or_pruned,0.328125,0.25,0.275391,0.078125,0.0527344,2,,,,,True,,,insufficient matched-control delta (0.053),QJL / canonical RASP / source controls,raw_sign=0.246; qjl=0.381; canonical_rasp=0.375; canonical_pass=False
wyner_ziv_cross::holdout_to_core::budget4,learned Wyner-Ziv cross-family falsification,4-byte scalar WZ packet,holdout_to_core,fail,failed_or_pruned,0.337891,0.25,0.25,0.0878906,0.0878906,4,,,,,True,,,insufficient matched-control delta (0.088),QJL / canonical RASP / source controls,raw_sign=0.129; qjl=0.414; canonical_rasp=0.498; canonical_pass=True
wyner_ziv_cross::holdout_to_core::budget6,learned Wyner-Ziv cross-family falsification,6-byte scalar WZ packet,holdout_to_core,pass,positive_needs_more_evidence,0.623047,0.25,0.25,0.373047,0.373047,6,,,,,False,"valid_rate,ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.373; beats best destructive/control by 0.373; missing reviewer evidence: valid_rate, ci95_low_vs_target, ci95_low_vs_comparator",,QJL / canonical RASP / source controls,raw_sign=0.109; qjl=0.564; canonical_rasp=0.498; canonical_pass=True
protected_residual::remap101::budget2,protected rotated residual packet ablation,2-byte protected residual packet,remap 101,near-miss,failed_or_pruned,0.429688,0.25,0.279297,0.179688,0.150391,2,,,,3.56208,True,,,source artifact marks row fail/near-miss,scalar WZ / QJL residual / canonical RASP,scalar=0.418; qjl=0.396; canonical_rasp=0.350; protected_minus_scalar=0.012; strict_codec_pass=False
protected_residual::remap101::budget4,protected rotated residual packet ablation,4-byte protected residual packet,remap 101,near-miss,failed_or_pruned,0.447266,0.25,0.263672,0.197266,0.183594,4,,,,3.82415,True,,,source artifact marks row fail/near-miss,scalar WZ / QJL residual / canonical RASP,scalar=0.432; qjl=0.461; canonical_rasp=0.494; protected_minus_scalar=0.016; strict_codec_pass=False
protected_residual::remap101::budget6,protected rotated residual packet ablation,6-byte protected residual packet,remap 101,near-miss,failed_or_pruned,0.447266,0.25,0.263672,0.197266,0.183594,6,,,,6.68175,True,,,source artifact marks row fail/near-miss,scalar WZ / QJL residual / canonical RASP,scalar=0.463; qjl=0.447; canonical_rasp=0.494; protected_minus_scalar=-0.016; strict_codec_pass=False
protected_residual::remap103::budget2,protected rotated residual packet ablation,2-byte protected residual packet,remap 103,near-miss,failed_or_pruned,0.4375,0.25,0.265625,0.1875,0.171875,2,,,,3.90533,True,,,source artifact marks row fail/near-miss,scalar WZ / QJL residual / canonical RASP,scalar=0.436; qjl=0.439; canonical_rasp=0.363; protected_minus_scalar=0.002; strict_codec_pass=False
protected_residual::remap103::budget4,protected rotated residual packet ablation,4-byte protected residual packet,remap 103,near-miss,failed_or_pruned,0.464844,0.25,0.25,0.214844,0.214844,4,,,,3.97269,True,,,source artifact marks row fail/near-miss,scalar WZ / QJL residual / canonical RASP,scalar=0.475; qjl=0.461; canonical_rasp=0.520; protected_minus_scalar=-0.010; strict_codec_pass=False
protected_residual::remap103::budget6,protected rotated residual packet ablation,6-byte protected residual packet,remap 103,fail,failed_or_pruned,0.478516,0.25,0.244141,0.228516,0.234375,6,,,,7.32619,True,,,source artifact marks row fail/near-miss,scalar WZ / QJL residual / canonical RASP,scalar=0.508; qjl=0.484; canonical_rasp=0.520; protected_minus_scalar=-0.029; strict_codec_pass=False
protected_residual::remap107::budget2,protected rotated residual packet ablation,2-byte protected residual packet,remap 107,near-miss,failed_or_pruned,0.431641,0.25,0.255859,0.181641,0.175781,2,,,,4.31498,True,,,source artifact marks row fail/near-miss,scalar WZ / QJL residual / canonical RASP,scalar=0.418; qjl=0.393; canonical_rasp=0.350; protected_minus_scalar=0.014; strict_codec_pass=False
protected_residual::remap107::budget4,protected rotated residual packet ablation,4-byte protected residual packet,remap 107,near-miss,failed_or_pruned,0.435547,0.25,0.257812,0.185547,0.177734,4,,,,4.04617,True,,,source artifact marks row fail/near-miss,scalar WZ / QJL residual / canonical RASP,scalar=0.445; qjl=0.453; canonical_rasp=0.506; protected_minus_scalar=-0.010; strict_codec_pass=False
protected_residual::remap107::budget6,protected rotated residual packet ablation,6-byte protected residual packet,remap 107,fail,failed_or_pruned,0.453125,0.25,0.25,0.203125,0.203125,6,,,,6.6094,True,,,source artifact marks row fail/near-miss,scalar WZ / QJL residual / canonical RASP,scalar=0.492; qjl=0.457; canonical_rasp=0.506; protected_minus_scalar=-0.039; strict_codec_pass=False
anchor_sparse::core_to_holdout::budget2,anchor-relative sparse packet cross-family falsification,2-byte AR-SIP,core_to_holdout,fail,failed_or_pruned,0.242188,0.25,0.453125,-0.0078125,-0.210938,2,,,,,True,,,does not beat target (-0.008); insufficient matched-control delta (-0.211),scalar WZ / canonical RASP / source controls,controls_ok=False; sparse_minus_target=-0.008; sparse_minus_control=-0.211
anchor_sparse::core_to_holdout::budget4,anchor-relative sparse packet cross-family falsification,4-byte AR-SIP,core_to_holdout,fail,failed_or_pruned,0.25,0.25,0.271484,0,-0.0214844,4,,,,,True,,,does not beat target (0.000); insufficient matched-control delta (-0.021),scalar WZ / canonical RASP / source controls,controls_ok=True; sparse_minus_target=0.000; sparse_minus_control=-0.021
anchor_sparse::core_to_holdout::budget6,anchor-relative sparse packet cross-family falsification,6-byte AR-SIP,core_to_holdout,fail,failed_or_pruned,0.125,0.25,0.283203,-0.125,-0.158203,6,,,,,True,,,does not beat target (-0.125); insufficient matched-control delta (-0.158),scalar WZ / canonical RASP / source controls,controls_ok=False; sparse_minus_target=-0.125; sparse_minus_control=-0.158
anchor_sparse::core_to_holdout::budget8,anchor-relative sparse packet cross-family falsification,8-byte AR-SIP,core_to_holdout,fail,failed_or_pruned,0.25,0.25,0.375,0,-0.125,8,,,,,True,,,does not beat target (0.000); insufficient matched-control delta (-0.125),scalar WZ / canonical RASP / source controls,controls_ok=False; sparse_minus_target=0.000; sparse_minus_control=-0.125
anchor_sparse::holdout_to_core::budget2,anchor-relative sparse packet cross-family falsification,2-byte AR-SIP,holdout_to_core,pass,positive_needs_more_evidence,0.496094,0.25,0.25,0.246094,0.246094,2,,,,,False,"valid_rate,ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.246; beats best destructive/control by 0.246; missing reviewer evidence: valid_rate, ci95_low_vs_target, ci95_low_vs_comparator",,scalar WZ / canonical RASP / source controls,controls_ok=True; sparse_minus_target=0.246; sparse_minus_control=0.246
anchor_sparse::holdout_to_core::budget4,anchor-relative sparse packet cross-family falsification,4-byte AR-SIP,holdout_to_core,fail,failed_or_pruned,0.248047,0.25,0.25,-0.00195312,-0.00195312,4,,,,,True,,,does not beat target (-0.002); insufficient matched-control delta (-0.002),scalar WZ / canonical RASP / source controls,controls_ok=True; sparse_minus_target=-0.002; sparse_minus_control=-0.002
anchor_sparse::holdout_to_core::budget6,anchor-relative sparse packet cross-family falsification,6-byte AR-SIP,holdout_to_core,near-miss,failed_or_pruned,0.269531,0.25,0.25,0.0195312,0.0195312,6,,,,,True,,,insufficient matched-control delta (0.020),scalar WZ / canonical RASP / source controls,controls_ok=True; sparse_minus_target=0.020; sparse_minus_control=0.020
anchor_sparse::holdout_to_core::budget8,anchor-relative sparse packet cross-family falsification,8-byte AR-SIP,holdout_to_core,pass,weak_positive,0.373047,0.25,0.261719,0.123047,0.111328,8,,,,,False,"valid_rate,ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.123; beats best destructive/control by 0.111; missing reviewer evidence: valid_rate, ci95_low_vs_target, ci95_low_vs_comparator",,scalar WZ / canonical RASP / source controls,controls_ok=True; sparse_minus_target=0.123; sparse_minus_control=0.111
candidate_embedding_receiver_gated_budget4_seed29_30,learned target-preserving receiver,4-byte candidate-embedding receiver,all-family train768/eval512 seed29->30,pass,positive_needs_more_evidence,0.748047,0.25,0.261719,0.498047,0.486328,4,1,,,7.91794,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.498; beats best destructive/control by 0.486; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,zero/shuffled/answer-masked/random/target-derived/wrong-projection controls,train=768; eval=512; receiver=ridge; packet_features=hashed; margin_threshold=0.625; full_diag_oracle=0.998; best_control=0.262
candidate_embedding_receiver_diagnostic_budget8_seed29_30,learned target-preserving receiver,8-byte candidate-embedding receiver,all-family train768/eval512 seed29->30,pass,positive_needs_more_evidence,0.875,0.25,0.25,0.625,0.625,8,1,,,7.93377,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.625; beats best destructive/control by 0.625; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,zero/shuffled/answer-masked/random/target-derived/wrong-projection controls,train=768; eval=512; receiver=ridge; packet_features=hashed; margin_threshold=0.583; full_diag_oracle=1.000; best_control=0.250
candidate_embedding_receiver_diagnostic_budget8_seed31_32,learned target-preserving receiver,8-byte candidate-embedding receiver,all-family train768/eval512 seed31->32,pass,positive_needs_more_evidence,0.513672,0.25,0.283203,0.263672,0.230469,8,1,,,8.13556,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.264; beats best destructive/control by 0.230; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,zero/shuffled/answer-masked/random/target-derived/wrong-projection controls,train=768; eval=512; receiver=ridge; packet_features=hashed; margin_threshold=0.873; full_diag_oracle=1.000; best_control=0.283
candidate_embedding_receiver_diagnostic_budget8_seed37_38,learned target-preserving receiver,8-byte candidate-embedding receiver,all-family train768/eval512 seed37->38,pass,positive_needs_more_evidence,0.859375,0.25,0.275391,0.609375,0.583984,8,1,,,7.59892,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.609; beats best destructive/control by 0.584; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,zero/shuffled/answer-masked/random/target-derived/wrong-projection controls,train=768; eval=512; receiver=ridge; packet_features=hashed; margin_threshold=0.518; full_diag_oracle=1.000; best_control=0.275
candidate_embedding_receiver_heldout_core_to_holdout_budget8_seed29_30,learned target-preserving receiver,8-byte candidate-embedding receiver,heldout-family core-train/holdout-eval seed29->30,fail,failed_or_pruned,0.453125,0.25,0.310547,0.203125,0.142578,8,1,,,11.3666,True,,,insufficient matched-control delta (0.143),zero/shuffled/answer-masked/random/target-derived/wrong-projection controls,train=768; eval=512; receiver=ridge; packet_features=hashed; margin_threshold=0.000; full_diag_oracle=0.809; best_control=0.311
candidate_embedding_receiver_heldout_code_similarity_budget8_seed29_30,learned target-preserving receiver,8-byte candidate-embedding receiver,heldout-family core-train/holdout-eval code-similarity seed29->30,fail,failed_or_pruned,0.255859,0.25,0.285156,0.00585938,-0.0292969,8,1,,,8.03671,True,,,insufficient matched-control delta (-0.029),zero/shuffled/answer-masked/random/target-derived/wrong-projection controls,train=768; eval=512; receiver=code_similarity; packet_features=hashed; margin_threshold=0.250; full_diag_oracle=1.000; best_control=0.285
candidate_embedding_receiver_heldout_anchor_relative_code_similarity_budget8_seed29_30,learned target-preserving receiver,8-byte candidate-embedding receiver,heldout-family anchor-relative code-similarity seed29->30,fail,failed_or_pruned,0.28125,0.25,0.257812,0.03125,0.0234375,8,1,,,4.46585,True,,,insufficient matched-control delta (0.023),zero/shuffled/answer-masked/random/target-derived/wrong-projection controls,train=768; eval=512; receiver=code_similarity; packet_features=anchor_relative; margin_threshold=0.094; full_diag_oracle=0.756; best_control=0.258
candidate_embedding_receiver_heldout_anchor_relative_ridge_budget8_seed29_30,learned target-preserving receiver,8-byte candidate-embedding receiver,heldout-family anchor-relative ridge seed29->30,fail,failed_or_pruned,0.302734,0.25,0.4375,0.0527344,-0.134766,8,1,,,4.35198,True,,,insufficient matched-control delta (-0.135),zero/shuffled/answer-masked/random/target-derived/wrong-projection controls,train=768; eval=512; receiver=ridge; packet_features=anchor_relative; margin_threshold=0.720; full_diag_oracle=0.342; best_control=0.438
canonical_rasp::source_private_relative_canonical_remap101_20260429,canonical RASP remap robustness,4-byte canonical RASP,remap 101,near-miss,failed_or_pruned,0.494141,0.25,0.294922,0.244141,0.199219,4,,0.183594,0.0292969,3.86867,True,,,source artifact marks row fail/near-miss,scalar packet,scalar=0.426; relative_minus_scalar=0.068
canonical_rasp::source_private_relative_canonical_remap103_20260429,canonical RASP remap robustness,4-byte canonical RASP,remap 103,near-miss,failed_or_pruned,0.519531,0.25,0.255859,0.269531,0.263672,4,,0.212891,-0.0136719,3.61377,True,,,source artifact marks row fail/near-miss,scalar packet,scalar=0.496; relative_minus_scalar=0.023
canonical_rasp::source_private_relative_canonical_remap107_20260429,canonical RASP remap robustness,4-byte canonical RASP,remap 107,near-miss,failed_or_pruned,0.505859,0.25,0.355469,0.255859,0.150391,4,,0.199219,-0.0351562,3.65017,True,,,source artifact marks row fail/near-miss,scalar packet,scalar=0.502; relative_minus_scalar=0.004
canonical_rasp::source_private_relative_canonical_remap109_20260429,canonical RASP remap robustness,4-byte canonical RASP,remap 109,near-miss,failed_or_pruned,0.476562,0.25,0.279297,0.226562,0.197266,4,,0.169922,-0.0078125,3.64854,True,,,source artifact marks row fail/near-miss,scalar packet,scalar=0.451; relative_minus_scalar=0.025
canonical_rasp::source_private_relative_canonical_remap113_20260429,canonical RASP remap robustness,4-byte canonical RASP,remap 113,near-miss,failed_or_pruned,0.472656,0.25,0.279297,0.222656,0.193359,4,,0.164062,0.00195312,4.2196,True,,,source artifact marks row fail/near-miss,scalar packet,scalar=0.436; relative_minus_scalar=0.037
canonical_rasp::source_private_relative_canonical_remap127_20260429,canonical RASP remap robustness,4-byte canonical RASP,remap 127,near-miss,failed_or_pruned,0.453125,0.25,0.275391,0.203125,0.177734,4,,0.146484,-0.00976562,4.15404,True,,,source artifact marks row fail/near-miss,scalar packet,scalar=0.428; relative_minus_scalar=0.025
canonical_rasp::source_private_relative_canonical_remap131_20260429,canonical RASP remap robustness,4-byte canonical RASP,remap 131,near-miss,failed_or_pruned,0.505859,0.25,0.28125,0.255859,0.224609,4,,0.197266,0.0351562,4.02208,True,,,source artifact marks row fail/near-miss,scalar packet,scalar=0.434; relative_minus_scalar=0.072
canonical_rasp::source_private_relative_canonical_remap127_large_20260429,canonical RASP larger-slice confirmation,4-byte canonical RASP,remap 127,pass,positive_needs_more_evidence,0.442383,0.25,0.275391,0.192383,0.166992,4,,0.152344,0.0527344,4.32958,False,valid_rate,beats target by 0.192; beats best destructive/control by 0.167; paired CI lower vs target 0.152; missing reviewer evidence: valid_rate,,scalar packet,scalar=0.361; relative_minus_scalar=0.081
canonical_rasp_cross_family_core_to_holdout,canonical RASP cross-family falsification,4-byte canonical RASP,core -> holdout,fail,failed_or_pruned,0.207031,0.25,0.494141,-0.0429688,-0.287109,4,,,,4.47494,True,,,does not beat target (-0.043); insufficient matched-control delta (-0.287),,scalar=0.225; controls_ok=False
canonical_rasp_cross_family_holdout_to_core,canonical RASP cross-family falsification,4-byte canonical RASP,holdout -> core,pass,positive_needs_more_evidence,0.492188,0.25,0.25,0.242188,0.242188,4,,,,4.40344,False,"valid_rate,ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.242; beats best destructive/control by 0.242; missing reviewer evidence: valid_rate, ci95_low_vs_target, ci95_low_vs_comparator",,,scalar=0.375; controls_ok=True
consistent_posterior_core_to_holdout_large,consistency posterior negative ablation,4-byte consistent posterior packet,core -> holdout large,fail,failed_or_pruned,0.353516,0.25,0.355469,0.103516,-0.00195312,4,,,,3.61321,True,,,insufficient matched-control delta (-0.002),,order-mismatch matched source in this failed row; scalar=0.370; controls_ok=False
consistent_posterior_holdout_to_core_large,consistency posterior negative ablation,4-byte consistent posterior packet,holdout -> core large,pass,positive_needs_more_evidence,0.495117,0.25,0.25,0.245117,0.245117,4,,,,3.41696,False,"valid_rate,ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.245; beats best destructive/control by 0.245; missing reviewer evidence: valid_rate, ci95_low_vs_target, ci95_low_vs_comparator",,,scalar=0.368; controls_ok=True
qwen35_0_8b_seed29,model-emitted source packet,Qwen3.5-0.8B,n160 seed29,pass,positive_needs_more_evidence,1,0.25,0.25625,0.75,0.74375,2,1,,,12058.7,False,"ci95_low_vs_target,ci95_low_vs_comparator","beats target by 0.750; beats best destructive/control by 0.744; valid rate 1.000; missing reviewer evidence: ci95_low_vs_target, ci95_low_vs_comparator",,,n=160; exact_id_parity=True
