row_group,method,surface,artifact,n,budget_bytes,payload_kind,source_private,decoder_side_info,same_byte_matched,accuracy,target_accuracy,best_destroying_control_accuracy,delta_vs_target,delta_vs_best_control,controls_ok,pass_rule_result,p50_latency_ms,p95_latency_ms,kv_qjl_1bit_bytes_vs_packet,kv_kivi_2bit_bytes_vs_packet,paper_use,caveat
same_surface_control,random same-byte packet,same_family_all synonym_stress,results/source_private_learned_synonym_dictionary_packet_gate_20260429_seed_repeat/same_family_all/summary.json,256,4,random_same_byte,False,True,True,0.246094,0.25,,-0.00390625,,True,control_ok,0.009375,34.436,,,source-destroying byte control,same benchmark surface; not a standalone communication method
same_surface_control,answer-label text truncated to 4 bytes,same_family_all synonym_stress,results/source_private_learned_synonym_dictionary_packet_gate_20260429_seed_repeat/same_family_all/summary.json,256,4,answer_only_text,False,True,True,0.25,0.25,,0,,True,control_ok,0.00312501,0.01725,,,answer-only leakage control,same benchmark surface; not a standalone communication method
heldout_boundary,learned synonym dictionary packet,core_to_holdout heldout_synonym,results/source_private_learned_synonym_dictionary_packet_gate_20260429_heldout_synonym/learned_synonym_dictionary_packet_gate.json,256,4,atom_packet,True,True,True,0.5,0.25,0.375,0.25,0.125,False,fail,,,,,negative boundary for held-out paraphrase generalization,calibration surface excludes transformed family-B phrases
same_surface_control,same-byte structured text relay,core_to_holdout heldout_synonym,results/source_private_learned_synonym_dictionary_packet_gate_20260429_heldout_synonym/core_to_holdout/summary.json,256,4,structured_text_matched,True,True,True,0.25,0.25,,0,,True,control_ok,0.00241699,0.008,,,direct same-byte text control,same benchmark surface; not a standalone communication method
same_surface_control,random same-byte packet,core_to_holdout heldout_synonym,results/source_private_learned_synonym_dictionary_packet_gate_20260429_heldout_synonym/core_to_holdout/summary.json,256,4,random_same_byte,False,True,True,0.234375,0.25,,-0.015625,,True,control_ok,0.0104375,60.5303,,,source-destroying byte control,same benchmark surface; not a standalone communication method
same_surface_control,answer-label text truncated to 4 bytes,core_to_holdout heldout_synonym,results/source_private_learned_synonym_dictionary_packet_gate_20260429_heldout_synonym/core_to_holdout/summary.json,256,4,answer_only_text,False,True,True,0.25,0.25,,0,,True,control_ok,0.00325001,0.016833,,,answer-only leakage control,same benchmark surface; not a standalone communication method
heldout_boundary,learned synonym dictionary packet,holdout_to_core heldout_synonym,results/source_private_learned_synonym_dictionary_packet_gate_20260429_heldout_synonym/learned_synonym_dictionary_packet_gate.json,256,4,atom_packet,True,True,True,0.375,0.25,0.375,0.125,0,False,fail,,,,,negative boundary for held-out paraphrase generalization,calibration surface excludes transformed family-B phrases
same_surface_control,same-byte structured text relay,holdout_to_core heldout_synonym,results/source_private_learned_synonym_dictionary_packet_gate_20260429_heldout_synonym/holdout_to_core/summary.json,256,4,structured_text_matched,True,True,True,0.25,0.25,,0,,True,control_ok,0.00241701,0.008,,,direct same-byte text control,same benchmark surface; not a standalone communication method
same_surface_control,random same-byte packet,holdout_to_core heldout_synonym,results/source_private_learned_synonym_dictionary_packet_gate_20260429_heldout_synonym/holdout_to_core/summary.json,256,4,random_same_byte,False,True,True,0.25,0.25,,0,,True,control_ok,0.00947899,59.3473,,,source-destroying byte control,same benchmark surface; not a standalone communication method
same_surface_control,answer-label text truncated to 4 bytes,holdout_to_core heldout_synonym,results/source_private_learned_synonym_dictionary_packet_gate_20260429_heldout_synonym/holdout_to_core/summary.json,256,4,answer_only_text,False,True,True,0.25,0.25,,0,,True,control_ok,0.0031455,0.010875,,,answer-only leakage control,same benchmark surface; not a standalone communication method
heldout_boundary,learned synonym dictionary packet,same_family_all heldout_synonym,results/source_private_learned_synonym_dictionary_packet_gate_20260429_heldout_synonym/learned_synonym_dictionary_packet_gate.json,256,4,atom_packet,True,True,True,0.4375,0.25,0.375,0.1875,0.0625,False,fail,,,,,negative boundary for held-out paraphrase generalization,calibration surface excludes transformed family-B phrases
same_surface_control,same-byte structured text relay,same_family_all heldout_synonym,results/source_private_learned_synonym_dictionary_packet_gate_20260429_heldout_synonym/same_family_all/summary.json,256,4,structured_text_matched,True,True,True,0.25,0.25,,0,,True,control_ok,0.00241699,0.00787497,,,direct same-byte text control,same benchmark surface; not a standalone communication method
same_surface_control,random same-byte packet,same_family_all heldout_synonym,results/source_private_learned_synonym_dictionary_packet_gate_20260429_heldout_synonym/same_family_all/summary.json,256,4,random_same_byte,False,True,True,0.246094,0.25,,-0.00390625,,True,control_ok,0.0093125,58.0392,,,source-destroying byte control,same benchmark surface; not a standalone communication method
same_surface_control,answer-label text truncated to 4 bytes,same_family_all heldout_synonym,results/source_private_learned_synonym_dictionary_packet_gate_20260429_heldout_synonym/same_family_all/summary.json,256,4,answer_only_text,False,True,True,0.25,0.25,,0,,True,control_ok,0.00312501,0.014666,,,answer-only leakage control,same benchmark surface; not a standalone communication method
compression_baseline,scalar quantized source projection,all_to_all slot,results/source_private_tool_trace_qjl_residual_20260429_seed29_30/summary.json,512,6,scalar_uint8,True,True,False,1,0.25,0.25,0.75,0.75,True,pass,4.70658,16.4628,,,direct vector/source-coding comparator,not the synonym-stress candidate surface; use as source-coding comparator
compression_baseline,QJL-style residual projection,all_to_all slot,results/source_private_tool_trace_qjl_residual_20260429_seed29_30/summary.json,512,6,qjl_scalar_plus_sign,True,True,False,1,0.25,0.25,0.75,0.75,True,pass,7.26456,26.227,,,direct quantization/sketch comparator,not the synonym-stress candidate surface; use as source-coding comparator
compression_control,raw source sign sketch,all_to_all slot,results/source_private_tool_trace_qjl_residual_20260429_seed29_30/summary.json,512,6,raw_sign,True,True,False,0.306641,0.25,0.25,0.0566406,0.0566406,,unpromoted,5.05325,17.4457,,,raw sketch ablation,not the synonym-stress candidate surface; use as source-coding comparator
endpoint_systems,matched_packet,core n160 label_strict,results/source_private_kv_cache_baseline_table_20260429/kv_cache_baseline_table.json,,2,matched_packet,True,True,True,0.675,,,,,,pass,471.636,662.909,0,0,Mac endpoint packet systems row,"KV/TurboQuant values are byte-floor accounting only, not kernel implementations"
endpoint_systems,matched_byte_text_2,core n160 label_strict,results/source_private_kv_cache_baseline_table_20260429/kv_cache_baseline_table.json,,2,matched_byte_text_2,False,True,True,0.25,,,,,,fail,473.018,644.878,0,0,same-byte text endpoint control,"KV/TurboQuant values are byte-floor accounting only, not kernel implementations"
endpoint_systems,query_aware_diag_span,core n160 label_strict,results/source_private_kv_cache_baseline_table_20260429/kv_cache_baseline_table.json,,14,query_aware_diag_span,True,True,False,0.69375,,,,,,higher_rate_comparator,452.031,651.304,11849.6,23699.2,structured text rate comparator,"KV/TurboQuant values are byte-floor accounting only, not kernel implementations"
endpoint_systems,structured_free_text_diag,core n160 label_strict,results/source_private_kv_cache_baseline_table_20260429/kv_cache_baseline_table.json,,17,structured_free_text_diag,True,True,False,0.7125,,,,,,higher_rate_comparator,474.183,656.568,10752,21504,structured text rate comparator,"KV/TurboQuant values are byte-floor accounting only, not kernel implementations"
endpoint_systems,structured_json_diag,core n160 label_strict,results/source_private_kv_cache_baseline_table_20260429/kv_cache_baseline_table.json,,21,structured_json_diag,True,True,False,0.575,,,,,,higher_rate_comparator,478.584,648.183,17920,35840,structured text rate comparator,"KV/TurboQuant values are byte-floor accounting only, not kernel implementations"
endpoint_systems,full_hidden_log,core n160 label_strict,results/source_private_kv_cache_baseline_table_20260429/kv_cache_baseline_table.json,,366.5,full_hidden_log,True,True,False,0.4625,,,,,,higher_rate_comparator,635.909,838.668,313354,626707,full-log rate baseline,"KV/TurboQuant values are byte-floor accounting only, not kernel implementations"
endpoint_systems,matched_packet,holdout n160 label_strict,results/source_private_kv_cache_baseline_table_20260429/kv_cache_baseline_table.json,,2,matched_packet,True,True,True,0.6875,,,,,,pass,547.21,770.755,0,0,Mac endpoint packet systems row,"KV/TurboQuant values are byte-floor accounting only, not kernel implementations"
endpoint_systems,matched_byte_text_2,holdout n160 label_strict,results/source_private_kv_cache_baseline_table_20260429/kv_cache_baseline_table.json,,2,matched_byte_text_2,False,True,True,0.25,,,,,,fail,545.183,838.802,0,0,same-byte text endpoint control,"KV/TurboQuant values are byte-floor accounting only, not kernel implementations"
endpoint_systems,query_aware_diag_span,holdout n160 label_strict,results/source_private_kv_cache_baseline_table_20260429/kv_cache_baseline_table.json,,14,query_aware_diag_span,True,True,False,0.6875,,,,,,higher_rate_comparator,558.926,849.611,11849.6,23699.2,structured text rate comparator,"KV/TurboQuant values are byte-floor accounting only, not kernel implementations"
endpoint_systems,structured_free_text_diag,holdout n160 label_strict,results/source_private_kv_cache_baseline_table_20260429/kv_cache_baseline_table.json,,17,structured_free_text_diag,True,True,False,0.71875,,,,,,higher_rate_comparator,557.688,886.537,10752,21504,structured text rate comparator,"KV/TurboQuant values are byte-floor accounting only, not kernel implementations"
endpoint_systems,structured_json_diag,holdout n160 label_strict,results/source_private_kv_cache_baseline_table_20260429/kv_cache_baseline_table.json,,21,structured_json_diag,True,True,False,0.59375,,,,,,higher_rate_comparator,552.498,724.55,17920,35840,structured text rate comparator,"KV/TurboQuant values are byte-floor accounting only, not kernel implementations"
endpoint_systems,full_hidden_log,holdout n160 label_strict,results/source_private_kv_cache_baseline_table_20260429/kv_cache_baseline_table.json,,373.5,full_hidden_log,True,True,False,0.53125,,,,,,higher_rate_comparator,730.755,1075.2,323210,646419,full-log rate baseline,"KV/TurboQuant values are byte-floor accounting only, not kernel implementations"
